number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
191,2026/4/10,2400003.IB,2400003,"20,740,615",0,2.46,"17,598",48.1808
192,2026/4/9,2400003.IB,2400003,"20,740,615","40,000,000.00",2.46,"17,599",48.1836
193,2026/4/10,2400002.IB,2400002,"20,440,525","650,000,000.00",2.225,"6,620",18.1233
194,2026/4/9,2400002.IB,2400002,"20,440,525","1,610,000,000.00",2.2425,"6,621",18.126
195,2026/4/10,2400001.IB,2400001,"20,540,520","2,941,000,000.00",2.3355,"10,267",28.1096
196,2026/4/9,2400001.IB,2400001,"20,540,520","2,655,200,000.00",2.332,"10,268",28.1123
197,2026/4/10,230028.IB,230028,"20,301,225","190,110,000.00",1.4975,"1,720",4.7096
198,2026/4/9,230028.IB,230028,"20,301,225","202,050,000.00",1.495,"1,721",4.7123
199,2026/4/10,230026.IB,230026,"20,331,125","420,000,000.00",1.661,"2,786",7.6274
200,2026/4/9,230026.IB,230026,"20,331,125","660,650,000.00",1.665,"2,787",7.6301
201,2026/4/10,230025.IB,230025,"20,261,115",0,1.0401,219,0.6
202,2026/4/9,230025.IB,230025,"20,261,115","1,500,000,000.00",1.0401,220,0.6027
203,2026/4/10,230023.IB,230023,"20,531,015","10,696,500,000.00",2.293,"10,050",27.5151
204,2026/4/9,230023.IB,230023,"20,531,015","11,192,720,000.00",2.309,"10,051",27.5178
205,2026/4/10,230022.IB,230022,"20,281,015","2,302,290,000.00",1.285,919,2.5151
206,2026/4/9,230022.IB,230022,"20,281,015","1,640,000,000.00",1.2783,920,2.5178
207,2026/4/10,230021.IB,230021,"20,280,925","20,520,000.00",1.28,899,2.4603
208,2026/4/9,230021.IB,230021,"20,280,925",0,1.2587,900,2.463
209,2026/4/10,230019.IB,230019,"20,300,915","1,086,250,000.00",1.4675,"1,619",4.4329
210,2026/4/9,230019.IB,230019,"20,300,915","2,458,800,000.00",1.47,"1,620",4.4356
