number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
221,2026/4/10,092502101.IB,92502101,"20,280,512","50,000,000.00",1.5358,763,2.0877
222,2026/4/9,092502101.IB,92502101,"20,280,512","100,000,000.00",1.5383,764,2.0904
223,2026/4/10,09250209.IB,9250209,"20,320,919",0,1.8196,"2,354",6.4438
224,2026/4/9,09250209.IB,9250209,"20,320,919",0,1.8197,"2,355",6.4466
225,2026/4/10,09250207.IB,9250207,"20,280,912","1,980,000,000.00",1.59,886,2.4247
226,2026/4/9,09250207.IB,9250207,"20,280,912","3,470,000,000.00",1.59,887,2.4274
227,2026/4/10,09250204.IB,9250204,"20,320,214","150,000,000.00",1.74,"2,136",5.8493
228,2026/4/9,09250204.IB,9250204,"20,320,214",0,1.725,"2,137",5.8521
229,2026/4/10,09250202.IB,9250202,"20,280,214","4,330,000,000.00",1.54,675,1.8493
230,2026/4/9,09250202.IB,9250202,"20,280,214","6,510,000,000.00",1.535,676,1.8521
231,2026/4/10,092502003.IB,92502003,"20,281,128",0,1.55,963,2.6356
232,2026/4/9,092502003.IB,92502003,"20,281,128","30,000,000.00",1.55,964,2.6384
233,2026/4/10,092502002.IB,92502002,"20,281,010","220,000,000.00",1.575,914,2.5014
234,2026/4/9,092502002.IB,92502002,"20,281,010","200,000,000.00",1.5775,915,2.5041
235,2026/4/10,092502001.IB,92502001,"20,280,616",0,1.5021,798,2.1836
236,2026/4/9,092502001.IB,92502001,"20,280,616",0,1.5018,799,2.1863
237,2026/4/10,09240203.IB,9240203,"20,270,902","1,200,000,000.00",1.4985,510,1.3973
238,2026/4/9,09240203.IB,9240203,"20,270,902","3,680,000,000.00",1.498,511,1.4
239,2026/4/10,09240202.IB,9240202,"20,270,412","5,040,000,000.00",1.4215,367,1.0055
240,2026/4/9,09240202.IB,9240202,"20,270,412","2,380,000,000.00",1.427,368,1.0082
241,2026/4/10,09240201.IB,9240201,"20,310,108","331,000,000.00",1.675,"1,734",4.7479
242,2026/4/9,09240201.IB,9240201,"20,310,108","370,000,000.00",1.6725,"1,735",4.7507
243,2026/4/10,092402003.IB,92402003,"20,271,118",0,1.5407,587,1.6082
244,2026/4/9,092402003.IB,92402003,"20,271,118",0,1.5404,588,1.611
245,2026/4/10,092402002.IB,92402002,"20,271,018",0,1.3817,556,1.5233
246,2026/4/9,092402002.IB,92402002,"20,271,018",0,1.3818,557,1.526
247,2026/4/10,092402001.IB,92402001,"20,270,821",0,1.4392,498,1.3644
248,2026/4/9,092402001.IB,92402001,"20,270,821",0,1.4396,499,1.3671
